FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.13930758,13930758,POINT (16.277643611948303 48.240176170163075),Schwarzenbergallee,Schwarzenbergallee,"43B,445",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergallee&start=1,
OEFFHALTESTOGD.13930759,13930759,POINT (16.277746901020663 48.240092489941546),Schwarzenbergallee,Schwarzenbergallee,"43B,445",,3,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergallee&start=1,
OEFFHALTESTOGD.13930760,13930760,POINT (16.27770651265285 48.240092469427175),Schwarzenbergallee,Schwarzenbergallee,"43B,445",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergallee&start=1,
OEFFHALTESTOGD.13930761,13930761,POINT (16.341693512598766 48.22665316999847),Martinstraße,Martinstraße,"40,41",,1,https://anachb.vor.at?P=SQ&input=Wien%20Martinstraße&start=1,
OEFFHALTESTOGD.13930762,13930762,POINT (16.34273561279313 48.22661126953988),Martinstraße,Martinstraße,"40,41",,1,https://anachb.vor.at?P=SQ&input=Wien%20Martinstraße&start=1,
OEFFHALTESTOGD.13930763,13930763,POINT (16.343939312206157 48.18036646944006),Marx-Meidlinger-Straße,Marx-Meidlinger-Straße,"62,",,1,https://anachb.vor.at?P=SQ&input=Wien%20Marx-Meidlinger-Straße&start=1,
OEFFHALTESTOGD.13930764,13930764,POINT (16.344496312704393 48.18059406955052),Marx-Meidlinger-Straße,Marx-Meidlinger-Straße,"62,",,1,https://anachb.vor.at?P=SQ&input=Wien%20Marx-Meidlinger-Straße&start=1,
OEFFHALTESTOGD.13930765,13930765,POINT (16.3865374122475 48.207960269403685),Marxergasse,Marxergasse,O,,1,https://anachb.vor.at?P=SQ&input=Wien%20Marxergasse&start=1,
OEFFHALTESTOGD.13930766,13930766,POINT (16.386528412823445 48.207176069858185),Marxergasse,Marxergasse,O,,1,https://anachb.vor.at?P=SQ&input=Wien%20Marxergasse&start=1,
OEFFHALTESTOGD.13930767,13930767,POINT (16.290705112179612 48.208744569549694),Matschgasse,Matschgasse,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Matschgasse&start=1,
OEFFHALTESTOGD.13930768,13930768,POINT (16.290893812349136 48.20872656938106),Matschgasse,Matschgasse,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Matschgasse&start=1,
OEFFHALTESTOGD.13930769,13930769,POINT (16.474527412478356 48.20536796986313),Marderweg,Marderweg,95A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Marderweg&start=1,
OEFFHALTESTOGD.13930770,13930770,POINT (16.3951882122936 48.25373156939284),Matthäus-Jiszda-Straße,Matthäus-Jiszda-Straße,"12,31,5",,1,https://anachb.vor.at?P=SQ&input=Wien%20Matthäus-Jiszda-Straße&start=1,
OEFFHALTESTOGD.13930771,13930771,POINT (16.39479291246112 48.25382126975617),Matthäus-Jiszda-Straße,Matthäus-Jiszda-Straße,"12,31,5",,1,https://anachb.vor.at?P=SQ&input=Wien%20Matthäus-Jiszda-Straße&start=1,
OEFFHALTESTOGD.13930772,13930772,POINT (16.359237613185595 48.18046826952598),Matzleinsdorfer Platz (Unterführung),Matzleinsdorfer Platz (Unterführung),"14A,SV900",,2,https://anachb.vor.at?P=SQ&input=Wien%20Matzleinsdorfer%20Platz&start=1,
OEFFHALTESTOGD.13930773,13930773,POINT (16.359264612481255 48.18052817002308),Matzleinsdorfer Platz (Tiefgeschoß),Matzleinsdorfer Platz (Tiefgeschoß),"1,18,6",,1,https://anachb.vor.at?P=SQ&input=Wien%20Matzleinsdorfer%20Platz&start=1,
OEFFHALTESTOGD.13930774,13930774,POINT (16.358568252551564 48.178809062008725),Matzleinsdorfer Platz (Triester Straße),Matzleinsdorfer Platz (Triester Straße),"096,209,303,309,311,6011,7940,B01,B23,B24,B25,N6,N62",,3,https://anachb.vor.at?P=SQ&input=Wien%20Matzleinsdorfer%20Platz&start=1,
